# RailSync Synthetic Dataset: Track Management System (TMS)
# Corridors: NDLS-HWH-01, NDLS-CNB-07, CNB-MGS-01
track_code,defect_id,severity_rank,reported_at,required_repair_duration,proposed_date,inspector_notes,corridor_id,start_km,end_km,work_type
TRK-01,TMS-DEF-1001,4,2026-08-31 06:15:00,120,2026-08-31 10:00:00,Thermit weld fracture detected near KM 8.4,NDLS-HWH-01,8.0,9.0,WELD_FRACTURE_REPAIR
TRK-01,TMS-DEF-1002,3,2026-08-31 06:30:00,90,2026-08-31 10:30:00,Sleeper fastening loosening at KM 9.2,NDLS-HWH-01,9.0,10.0,SLEEPER_FASTENING_REPLACEMENT
TRK-01,TMS-DEF-1003,5,2026-08-31 07:00:00,180,2026-08-31 10:00:00,Deep rail corrugation exceeding 1.8mm at KM 8.8,NDLS-HWH-01,8.5,9.5,RAIL_GRINDING_URGENT
TRK-01,TMS-DEF-1004,2,2026-08-31 07:45:00,60,2026-08-31 14:00:00,Ballast packing required at KM 11.4,NDLS-HWH-01,11.0,12.0,BALLAST_TAMPING
TRK-01,TMS-DEF-1005,1,2026-08-31 08:00:00,45,2026-08-31 15:30:00,Routine visual alignment inspection,NDLS-HWH-01,6.0,7.0,TRACK_ALIGNMENT_CHECK
TRK-02,TMS-DEF-1006,4,2026-08-31 06:00:00,150,2026-08-31 11:00:00,Switch expansion joint gap abnormal at KM 22.5,NDLS-HWH-01,22.0,23.0,SEJ_ADJUSTMENT
TRK-02,TMS-DEF-1007,3,2026-08-31 06:45:00,90,2026-08-31 11:30:00,Ultrasonic flaw detection flagged micro-crack,NDLS-HWH-01,23.0,24.0,USFD_CONFIRMATORY_TEST
TRK-02,TMS-DEF-1008,5,2026-08-31 07:15:00,210,2026-08-31 11:00:00,Fishplate cracked on bridge approach KM 24.1,NDLS-HWH-01,23.8,24.5,FISHPLATE_RENEWAL
TRK-02,TMS-DEF-1009,2,2026-08-31 08:10:00,60,2026-08-31 16:00:00,Cess clearing and drainage cleanout KM 26.0,NDLS-HWH-01,25.5,26.5,DRAINAGE_CLEARANCE
TRK-02,TMS-DEF-1010,3,2026-08-31 08:30:00,105,2026-08-31 16:30:00,Gauge variance +4mm on curve KM 28.0,NDLS-HWH-01,27.5,28.5,GAUGE_CORRECTION
TRK-03,TMS-DEF-1011,4,2026-08-31 05:45:00,135,2026-08-31 09:30:00,Tongue rail wear at CNB yard turnout 102A,NDLS-CNB-07,312.0,313.0,TURNOUT_REPAIR
TRK-03,TMS-DEF-1012,3,2026-08-31 06:20:00,90,2026-08-31 09:45:00,Stretcher bar bent on facing crossover,NDLS-CNB-07,312.5,313.5,STRETCHER_BAR_FIX
TRK-03,TMS-DEF-1013,5,2026-08-31 07:05:00,180,2026-08-31 10:00:00,Rail breakage risk reported by patrolman KM 314.2,NDLS-CNB-07,314.0,315.0,EMERGENCY_RAIL_REPLACE
TRK-03,TMS-DEF-1014,2,2026-08-31 07:40:00,60,2026-08-31 13:00:00,Check rail clearance adjustment at level crossing,NDLS-CNB-07,316.0,316.5,LEVEL_CROSSING_MAINTENANCE
TRK-03,TMS-DEF-1015,1,2026-08-31 08:15:00,45,2026-08-31 14:30:00,Lubrication of curve rails KM 318.0,NDLS-CNB-07,317.5,318.5,CURVE_LUBRICATION
TRK-04,TMS-DEF-1016,4,2026-08-31 06:10:00,120,2026-08-31 10:15:00,Glued insulated rail joint degradation KM 450.2,CNB-MGS-01,450.0,451.0,GLUED_JOINT_REPLACEMENT
TRK-04,TMS-DEF-1017,3,2026-08-31 06:50:00,90,2026-08-31 10:45:00,Ballast shoulder deficiency KM 452.0,CNB-MGS-01,451.5,452.5,BALLAST_REGULATION
TRK-04,TMS-DEF-1018,5,2026-08-31 07:25:00,195,2026-08-31 10:15:00,Track twist fault detected by OMS test car,CNB-MGS-01,453.0,454.0,TRACK_TWIST_RECTIFICATION
TRK-04,TMS-DEF-1019,2,2026-08-31 08:05:00,60,2026-08-31 15:00:00,Creep post realignment KM 455.0,CNB-MGS-01,454.5,455.5,CREEP_ADJUSTMENT
TRK-04,TMS-DEF-1020,3,2026-08-31 08:40:00,75,2026-08-31 15:45:00,Missing ERC clips on outer rail KM 458.0,CNB-MGS-01,457.5,458.5,FASTENER_REPLENISHMENT
TRK-01,TMS-DEF-1021,4,2026-08-31 06:25:00,110,2026-08-31 12:00:00,Weld grinding and profile restoration KM 7.5,NDLS-HWH-01,7.0,8.0,WELD_PROFILE_GRINDING
TRK-01,TMS-DEF-1022,3,2026-08-31 07:10:00,85,2026-08-31 12:15:00,Tie-plate corrosion at KM 10.5,NDLS-HWH-01,10.0,11.0,TIE_PLATE_RENEWAL
TRK-01,TMS-DEF-1023,2,2026-08-31 07:50:00,50,2026-08-31 13:30:00,Track margin clearing KM 12.5,NDLS-HWH-01,12.0,13.0,VEGETATION_CLEARANCE
TRK-01,TMS-DEF-1024,4,2026-08-31 08:20:00,120,2026-08-31 13:45:00,Turnout sleeper splitting at KM 14.0,NDLS-HWH-01,13.5,14.5,TURNOUT_SLEEPER_RENEWAL
TRK-01,TMS-DEF-1025,1,2026-08-31 08:50:00,45,2026-08-31 17:00:00,Kilometre post and gradient marker repainting,NDLS-HWH-01,5.0,15.0,SIGNAGE_REFURBISHMENT
TRK-02,TMS-DEF-1026,4,2026-08-31 06:05:00,130,2026-08-31 10:30:00,USFD defective rail weld identified at KM 19.5,NDLS-HWH-01,19.0,20.0,WELD_CUT_AND_REPAIR
TRK-02,TMS-DEF-1027,3,2026-08-31 06:40:00,90,2026-08-31 11:00:00,Uneven track settlement on embankment KM 21.0,NDLS-HWH-01,20.5,21.5,TRACK_LIFTING_PACKING
TRK-02,TMS-DEF-1028,5,2026-08-31 07:30:00,180,2026-08-31 10:30:00,Fractured stock rail at intermediate crossover,NDLS-HWH-01,22.0,23.0,STOCK_RAIL_REPLACEMENT
TRK-02,TMS-DEF-1029,2,2026-08-31 08:15:00,60,2026-08-31 14:15:00,Sleeper spacing regularisation KM 25.0,NDLS-HWH-01,24.5,25.5,SPACING_CORRECTION
TRK-02,TMS-DEF-1030,3,2026-08-31 08:45:00,75,2026-08-31 15:00:00,Buffer stop inspection and shock absorber overhaul,NDLS-HWH-01,29.0,30.0,BUFFER_STOP_OVERHAUL
TRK-03,TMS-DEF-1031,4,2026-08-31 06:15:00,120,2026-08-31 11:15:00,Crossing nose battering at turnout 108B,NDLS-CNB-07,311.5,312.5,CROSSING_NOSE_WELDING
TRK-03,TMS-DEF-1032,3,2026-08-31 07:00:00,80,2026-08-31 11:30:00,Slide chair dry friction requires graphite greasing,NDLS-CNB-07,312.0,313.0,SLIDE_CHAIR_LUBRICATION
TRK-03,TMS-DEF-1033,5,2026-08-31 07:35:00,190,2026-08-31 11:15:00,Major track buckling propensity on hot curve KM 315.0,NDLS-CNB-07,314.5,315.5,DE_STRESSING_OPERATION
TRK-03,TMS-DEF-1034,2,2026-08-31 08:10:00,60,2026-08-31 14:45:00,Ballast cleaning under diamond crossing KM 317.0,NDLS-CNB-07,316.5,317.5,BALLAST_SCREENING
TRK-03,TMS-DEF-1035,1,2026-08-31 08:55:00,45,2026-08-31 16:15:00,Flangeway clearance check on LC gate 42,NDLS-CNB-07,319.0,319.5,LC_FLANGEWAY_CLEANING
TRK-04,TMS-DEF-1036,4,2026-08-31 06:30:00,140,2026-08-31 10:00:00,Squat defect on high rail table KM 448.5,CNB-MGS-01,448.0,449.0,RAIL_SQUAT_REMOVAL
TRK-04,TMS-DEF-1037,3,2026-08-31 07:15:00,90,2026-08-31 10:30:00,Rubber pad deterioration under sleepers KM 450.5,CNB-MGS-01,450.0,451.0,RUBBER_PAD_RENEWAL
TRK-04,TMS-DEF-1038,5,2026-08-31 07:45:00,200,2026-08-31 10:00:00,Bridge guard rail fastening sheared KM 453.5,CNB-MGS-01,453.0,454.0,GUARD_RAIL_REPAIR
TRK-04,TMS-DEF-1039,2,2026-08-31 08:25:00,60,2026-08-31 14:00:00,Toe load measurement on elastic rail clips,CNB-MGS-01,455.0,456.0,TOE_LOAD_TESTING
TRK-04,TMS-DEF-1040,3,2026-08-31 09:00:00,75,2026-08-31 15:30:00,Check rail flangeway tightening KM 457.0,CNB-MGS-01,456.5,457.5,CHECK_RAIL_TIGHTENING
